Timestamp,Condition
08-04-2022 08:47:37,Yawn
08-04-2022 08:47:40,Sleep
08-04-2022 08:47:42,Yawn
08-04-2022 08:47:44,Sleep
08-04-2022 08:47:47,Sleep
08-04-2022 08:48:03,Yawn
08-04-2022 08:48:06,Yawn
08-04-2022 08:48:09,Yawn
08-04-2022 08:48:11,Sleep
08-04-2022 08:48:13,Sleep
08-04-2022 08:51:10,Yawn
08-04-2022 08:59:32,Yawn
08-04-2022 08:59:38,Yawn
08-04-2022 08:59:41,Sleep
08-04-2022 08:59:44,Sleep
08-04-2022 09:03:50,Yawn
08-04-2022 09:03:53,Sleep
08-04-2022 09:03:57,Sleep
08-04-2022 09:04:01,Yawn
08-04-2022 09:04:04,Sleep
08-04-2022 09:04:07,Yawn
08-04-2022 09:04:09,Sleep
08-04-2022 09:04:13,Yawn
08-04-2022 09:04:36,Sleep
08-04-2022 09:05:07,Yawn
08-04-2022 09:05:10,Sleep
08-04-2022 09:05:13,Sleep
08-04-2022 09:05:20,Sleep
08-04-2022 09:06:15,Yawn
08-04-2022 09:06:30,Yawn
08-04-2022 09:06:31,Sleep
08-04-2022 09:06:33,Sleep
08-04-2022 09:06:36,Sleep
08-04-2022 09:06:40,Yawn
08-04-2022 09:06:43,Yawn
08-04-2022 09:06:45,Sleep
